Gold Question	Modified Question	User Score 1	User Score 2
what films did Fernando Cayo star in ?	what films Fernando Cayo star ?	4	4
what films does Ralf Harolde appear in ?	what films does Ralf Harolde ?	3	3
what is a film directed by Rob Reiner ?	what is a film directed by ?	1	1
what films did Kyle Gallner act in ?	what films did Kyle Gallner ?	3	3
what does Dinah Shore act in ?	what Dinah Shore act ?	4	4
what films did Carol Kane star in ?	what films did star in ?	2	2
Eric Wareheim appears in which movies ?	Eric Wareheim appears in Why ?	3	3
what does Y.K. Kim star in ?	what does Y.K. Kim ?	2	2
which movie was Greg MacGillivray the director for ?	which movie Greg MacGillivray director ?	4	4
what does Draga Olteanu Matei appear in ?	what does appear in ?	1	1
Tess Harper appears in which movies ?	appears in which movies ?	1	1
what does Julie Delpy act in ?	what Julie Delpy act ?	4	4
what does Marguerite Churchill appear in ?	When Marguerite Churchill appear in ?	3	3
Lamont Johnson was the director of which films ?	Lamont Johnson was the director of When ?	3	3
James Whale was the director of which films ?	was the director of which films ?	2	2
which movies did Jérôme Enrico direct ?	which movies Jérôme Enrico direct ?	5	5
which films did Katherine Brooks direct ?	What did Katherine Brooks direct ?	4	4
which films did Elliot Silverstein direct ?	which films Elliot Silverstein direct ?	5	5
Wayne Holloway was the director on which movies ?	Wayne Holloway was the director on When ?	3	3
Dan Gildark was the director of which movies ?	was the director of which movies ?	2	2
what movies did Victor Fleming direct ?	what movies did Victor Fleming ?	3	3
what was Carlo Verdone the director of ?	what was the director of ?	2	2
which films did Fons Rademakers direct ?	which films did Fons Rademakers ?	3	3
what movies did Stephen Fung direct ?	what movies did Stephen Fung ?	3	3
what films did Buzzy Linhart star in ?	why did Buzzy Linhart star in ?	3	3
what does Jack Ashford act in ?	what does act in ?	2	2
what did Andrew Currie direct ?	what Andrew Currie direct ?	4	4
what movies did June Allyson star in ?	what movies did June Allyson in ?	5	5
what films did Pam Ferris act in ?	which did Pam Ferris act in ?	5	5
which movies did Christopher Erskin direct ?	which movies did direct ?	3	3
what did Ismail Merchant direct ?	when Ismail Merchant direct ?	3	3
what movies did Peter Marshall act in ?	what movies did Peter Marshall in ?	4	4
which movie was Maggie Carey the director for ?	which movie was the director for ?	3	3
what films did Ted Knight act in ?	what films did Ted Knight in ?	4	4
which movies did Geoffrey Wright direct ?	which movies did direct ?	3	3
what does Bob Hope appear in ?	what Bob Hope appear ?	3	3
what does Mike Norris appear in ?	what Mike Norris appear ?	4	4
what movies was Jackie Chan an actor in ?	where was Jackie Chan an actor in ?	3	3
what movies was Bill Travers an actor in ?	where was Bill Travers an actor in ?	3	3
what films did William Prince star in ?	what films did William Prince in ?	4	4
what movies did Jaclyn Smith act in ?	which did Jaclyn Smith act in ?	4	4
what films did Shahid Kapoor act in ?	how did Shahid Kapoor act in ?	3	3
L.Q. Jones was the director of which films ?	L.Q. Jones director which films ?	5	5
what films did Leigh McCormack star in ?	what films did Leigh McCormack in ?	4	4
what does Douglas Hodge appear in ?	what Douglas Hodge appear ?	3	3
what films did Nicholas Kilbertus star in ?	what films Nicholas Kilbertus star ?	5	5
what does Tobin Bell appear in ?	what does Tobin Bell in ?	3	3
what films does Dick Foran appear in ?	whose does Dick Foran appear in ?	4	4
what was Yael Hersonski the director of ?	what was the director of ?	2	2
what films did Carroll Ballard act in ?	what films did act in ?	2	2
what films did Rumi Hiiragi star in ?	what films Rumi Hiiragi star ?	5	5
which movies did Chris Roberts direct ?	which movies Chris Roberts direct ?	5	5
what movies did Judge Reinhold act in ?	what movies did act in ?	2	2
what films did John Emerson direct ?	what films John Emerson direct ?	5	5
what movies did Nelson McCormick direct ?	what movies Nelson McCormick direct ?	5	5
what was Reinhard Klooss the director of ?	what was the director of ?	2	2
what films did Ben Chaplin act in ?	what films Ben Chaplin act ?	5	5
Peter Madsen directed which films ?	directed which films ?	2	2
what does Matt Price star in ?	what does star in ?	2	2
which films did James Duffy direct ?	which films James Duffy direct ?	5	5
what films does Claude Mann appear in ?	what films does Claude Mann in ?	4	4
Brian Backer appears in which movies ?	Brian Backer in which movies ?	4	4
what does Peter Bogdanovich act in ?	what does Peter Bogdanovich in ?	4	4
what does Bruce Perens act in ?	what Bruce Perens act ?	4	4
what does Aneta Corsaut star in ?	what does star in ?	2	2
what films did Bess Armstrong star in ?	what films did Bess Armstrong in ?	4	4
what movies did Dan Stevens star in ?	what movies Dan Stevens star ?	5	5
what movies was Dev Patel an actor in ?	what movies was an actor in ?	2	2
what films did Bartosz Gelner star in ?	what films Bartosz Gelner star ?	5	5
which movie was Shinji Aramaki the director for ?	which movie Shinji Aramaki director ?	4	4
can you name a film directed by Stephen Berra ?	can you name a film directed by Stephen Berra ?	5	5
what movies did Pascale Ogier act in ?	what movies did act in ?	1	1
Carlos Saldanha directed which films ?	Carlos Saldanha directed Where ?	3	3
what does Jessalyn Gilsig act in ?	what does Jessalyn Gilsig ?	2	2
what movies was Doris Davenport an actor in ?	what movies was an actor in ?	1	1
what does Julie Harris star in ?	Why Julie Harris star in ?	3	3
what does Kristanna Loken appear in ?	what does Kristanna Loken ?	3	3
what movies did Don Megowan act in ?	what movies did act in ?	1	1
what movies was Laura San Giacomo an actor in ?	what movies Laura San Giacomo actor ?	4	4
what movies did Emmanuel Mouret act in ?	When did Emmanuel Mouret act in ?	3	3
what movies did Yvonne Monlaur act in ?	Why did Yvonne Monlaur act in ?	3	3
what movies did Dan Stevens star in ?	what movies did Dan Stevens ?	3	3
what does Adrian Bower appear in ?	what does Adrian Bower ?	2	2
what does Carl Reiner star in ?	Which Carl Reiner star in ?	4	4
what movies did Fiona Dourif star in ?	what movies did Fiona Dourif ?	3	3
which movies did David Boyd direct ?	which movies did David Boyd ?	4	4
James T. Callahan appears in which movies ?	James T. Callahan appears in why ?	4	4
what films does Virginia Bruce appear in ?	what films does Virginia Bruce in ?	4	4
what films does Adrienne Ames appear in ?	which does Adrienne Ames appear in ?	4	4
what movies was Judy Lynn an actor in ?	what movies was Judy Lynn an in ?	4	4
what films did Jun Tazaki star in ?	what films did Jun Tazaki in ?	4	4
Benjamin Christensen directed which movies ?	Benjamin Christensen directed what ?	4	4
what films did Ian Cairns act in ?	why did Ian Cairns act in ?	4	4
Ewan McGregor was the director of which films ?	Ewan McGregor was the director of where ?	4	4
what films did Stéphane Demers act in ?	when did Stéphane Demers act in ?	4	4
what films does Spike Lee appear in ?	what films does Spike Lee in ?	4	4
what does Adrian Lester act in ?	what Adrian Lester act ?	4	4
what films does Rita Jenrette appear in ?	when does Rita Jenrette appear in ?	4	4
what movies did Joanna Gleason act in ?	whose did Joanna Gleason act in ?	4	4
what movies did Derek de Lint star in ?	what movies did Derek de Lint in ?	4	4
Irving Rapper directed which movies ?	Irving Rapper directed whose ?	4	4
what does Richard Boone act in ?	how Richard Boone act in ?	4	4
what movies did Jo Van Fleet star in ?	what movies did Jo Van Fleet in ?	4	4
what movies did Max Pomeranc star in ?	whose did Max Pomeranc star in ?	4	4
which movies did Luis Valdez direct ?	how did Luis Valdez direct ?	4	4
